PMID;Triage classification
18210175;negative
18576588;negative
10656339;negative
12013217;negative
22805916;negative
10675564;positive
1936988;negative
18420985;negative
12406766;positive
22496740;negative
1367015;negative
10832;negative
10867228;negative
18401747;negative
18078955;negative
1608450;negative
17439636;negative
1368202;negative
23337356;negative
20817800;negative
1366537;negative
22733813;negative
18980741;negative
11437256;negative
2505054;negative
1840529;positive
24018680;negative
11942082;negative
10446355;negative
3151367;negative
16395555;negative
7687843;negative
15469729;positive
16871939;negative
17257262;negative
10781617;negative
16891545;negative
23332028;negative
14575675;negative
14575675;negative
19246207;negative
23961361;negative
22311108;negative
22112950;negative
19208239;negative
5018021;negative
22210619;negative
11848678;negative
956129;negative
10915212;negative
10915212;negative
16233217;negative
24412480;negative
16408174;negative
10723736;negative
6806012;negative
8298281;negative
4854948;negative
10906961;negative
4784485;negative
11271806;negative
22697360;negative
5827065;negative
16349820;negative
9139694;negative
1761061;negative
19731605;negative
17838811;negative
16275128;positive
18045408;negative
3141761;negative
23858710;negative
21327413;negative
23124346;positive
15705576;negative
21184840;negative
9133737;negative
9774870;negative
6429123;negative
12716988;negative
14000268;negative
12182334;negative
21373681;negative
22270237;negative
5667269;negative
8299155;negative
9421924;negative
19897917;negative
12492869;negative
23303647;negative
23470758;negative
7458906;negative
6409895;positive
21706286;negative
10694493;negative
20552260;positive
11850429;negative
12569630;negative
14545698;negative
8660508;negative
19709201;negative
22783068;negative
22239222;negative
14654438;negative
3378938;negative
8299164;negative
20174889;negative
19645671;negative
8221928;negative
8901566;negative
16427518;negative
24308062;negative
22652839;negative
2148180;negative
18722542;negative
12210548;negative
11271822;negative
5813340;negative
1903926;negative
21689797;negative
15917599;negative
20582640;negative
1768103;negative
17622525;negative
12030703;negative
16658959;negative
17154477;negative
15847171;negative
16854399;negative
12197578;negative
19756576;negative
24425022;negative
17091596;negative
11779794;negative
12757945;negative
21454590;negative
8529272;negative
21479627;negative
2738039;negative
564212;negative
7805053;positive
17364687;negative
16575564;negative
16696178;negative
18051606;negative
10570988;negative
11989765;negative
19577187;positive
19941023;positive
21523473;positive
24031896;negative
22518141;negative
11394565;negative
5753640;negative
9720204;positive
15276457;negative
8135518;positive
1102915;negative
26853;negative
15870328;positive
8935788;negative
23448507;negative
17257167;negative
23236275;positive
16021486;negative
18943844;negative
7718160;negative
22767376;negative
15055541;negative
10028181;negative
6641730;negative
9501518;negative
21910026;negative
18071646;negative
24420878;negative
19780951;negative
22444635;positive
19541632;negative
23195654;negative
17544537;negative
1952931;negative
3269796;negative
18388455;negative
17623028;positive
14000266;negative
4937661;negative
1447151;negative
17408952;negative
17347818;negative
19874880;negative
9450333;positive
20144726;negative
21350668;negative
2068873;negative
8724141;negative
23504310;negative
21701899;negative
8590658;negative
7794906;negative
5120655;negative
1936944;negative
11182422;negative
24022493;negative
1530843;negative
6686034;negative
16719518;negative
20400566;negative
2515679;negative
3781804;negative
18581436;negative
18180155;negative
9169623;negative
8346676;negative
19084826;negative
371;negative
19053222;negative
9204518;negative
15982190;positive
6203744;positive
10718854;negative
18506903;negative
1907511;negative
5690538;negative
7867916;negative
9719683;negative
23078400;negative
20724279;negative
2063624;negative
15180162;negative
16230011;negative
17009294;negative
10839146;negative
16167300;negative
24142357;negative
21625870;negative
8892847;negative
5914618;negative
10906964;negative
11494102;negative
15944854;negative
27428;negative
15081808;negative
1843411;negative
12549330;negative
24226684;negative
4501478;negative
4811548;negative
21388922;negative
22385626;negative
9758775;positive
15948964;negative
22867795;negative
19450975;negative
22878189;negative
12872308;negative
8044703;negative
29588;negative
10786278;negative
7498435;negative
24269826;negative
1612728;negative
22923398;negative
15107993;negative
21535563;negative
16238620;negative
8039053;negative
23065213;negative
10422261;negative
19286987;negative
1617736;negative
15706912;negative
11064048;negative
15158679;negative
3254166;negative
23647603;negative
2960680;negative
21259289;negative
13501202;negative
10811893;negative
1366522;negative
12883865;negative
22471203;negative
10816043;negative
16332849;negative
6434523;negative
23171402;negative
5144751;negative
15316684;negative
3283123;negative
2111445;negative
1367241;positive
18705871;negative
3782031;negative
9987124;positive
23553535;negative
17924109;negative
8322516;negative
10833405;negative
10704993;negative
22752910;negative
